
=========== Page Simulation ===========
----------- FIFO Start -----------
~~~~~ First In First Out ~~~~~
Memory: [ 5 X X X ]   Page Referenced: 5 | No eviction
Memory: [ 2 8 7 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 2 8 7 4 ]   Page Referenced: 4 | No eviction
Memory: [ 8 7 4 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 8 7 4 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 8 7 4 1 ]   Page Referenced: 1 | Page 0 evicted
Memory: [ 8 7 4 1 ]   Page Referenced: 8 | No eviction
Memory: [ 8 7 4 1 ]   Page Referenced: 7 | No eviction
Memory: [ 8 7 4 1 ]   Page Referenced: 7 | No eviction
Memory: [ 8 7 4 1 ]   Page Referenced: 8 | No eviction
Memory: [ 4 7 8 9 ]   Page Referenced: 9 | Page 1 evicted
Memory: [ 4 7 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 4 7 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 7 8 9 5 ]   Page Referenced: 5 | Page 4 evicted
Memory: [ 7 8 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 7 8 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 8 9 5 0 ]   Page Referenced: 0 | Page 7 evicted
Memory: [ 8 9 5 7 ]   Page Referenced: 7 | Page 0 evicted
Memory: [ 8 9 5 7 ]   Page Referenced: 7 | No eviction
Memory: [ 9 5 7 6 ]   Page Referenced: 6 | Page 8 evicted
Memory: [ 9 5 7 6 ]   Page Referenced: 5 | No eviction
Memory: [ 9 7 5 0 ]   Page Referenced: 0 | Page 6 evicted
Memory: [ 9 7 5 0 ]   Page Referenced: 0 | No eviction
Memory: [ 9 7 5 0 ]   Page Referenced: 9 | No eviction
Memory: [ 5 0 9 1 ]   Page Referenced: 1 | Page 7 evicted
Memory: [ 5 0 9 2 ]   Page Referenced: 2 | Page 1 evicted
Memory: [ 5 0 9 2 ]   Page Referenced: 2 | No eviction
Memory: [ 0 9 2 1 ]   Page Referenced: 1 | Page 5 evicted
Memory: [ 0 9 2 1 ]   Page Referenced: 1 | No eviction
Memory: [ 9 2 1 3 ]   Page Referenced: 3 | Page 0 evicted
Memory: [ 9 2 1 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 0 2 1 8 ]   Page Referenced: 8 | Page 9 evicted

Run 3 Hit Ratio: 47%
~~~~~ Least Recently Used ~~~~~
Memory: [ 0 X X X ]   Page Referenced: 0 | No eviction
Memory: [ 0 7 X X ]   Page Referenced: 7 | No eviction
Memory: [ 0 7 8 X ]   Page Referenced: 8 | No eviction
Memory: [ 0 7 8 X ]   Page Referenced: 7 | No eviction
Memory: [ 0 7 8 X ]   Page Referenced: 8 | No eviction
Memory: [ 0 7 8 X ]   Page Referenced: 8 | No eviction
Memory: [ 0 7 8 X ]   Page Referenced: 7 | No eviction
Memory: [ 0 7 8 X ]   Page Referenced: 7 | No eviction
Memory: [ 0 7 8 4 ]   Page Referenced: 4 | No eviction
Memory: [ 8 7 4 3 ]   Page Referenced: 3 | Page 0 evicted
Memory: [ 8 7 4 3 ]   Page Referenced: 3 | No eviction
Memory: [ 7 4 3 2 ]   Page Referenced: 2 | Page 8 evicted
Memory: [ 7 4 3 2 ]   Page Referenced: 3 | No eviction
Memory: [ 7 4 3 2 ]   Page Referenced: 3 | No eviction
Memory: [ 7 4 3 2 ]   Page Referenced: 4 | No eviction
Memory: [ 2 3 4 1 ]   Page Referenced: 1 | Page 7 evicted
Memory: [ 3 4 1 0 ]   Page Referenced: 0 | Page 2 evicted
Memory: [ 3 4 1 0 ]   Page Referenced: 0 | No eviction
Memory: [ 4 1 0 6 ]   Page Referenced: 6 | Page 3 evicted
Memory: [ 4 1 0 6 ]   Page Referenced: 6 | No eviction
Memory: [ 1 0 6 7 ]   Page Referenced: 7 | Page 4 evicted
Memory: [ 1 0 6 7 ]   Page Referenced: 6 | No eviction
Memory: [ 1 0 6 7 ]   Page Referenced: 6 | No eviction
Memory: [ 1 0 6 7 ]   Page Referenced: 6 | No eviction
Memory: [ 1 0 6 2 ]   Page Referenced: 2 | Page 7 evicted
Memory: [ 1 0 6 2 ]   Page Referenced: 2 | No eviction
Memory: [ 0 6 2 5 ]   Page Referenced: 5 | Page 1 evicted
Memory: [ 0 6 2 5 ]   Page Referenced: 5 | No eviction
Memory: [ 0 6 2 5 ]   Page Referenced: 5 | No eviction
Memory: [ 6 2 5 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 4 2 5 8 ]   Page Referenced: 8 | Page 6 evicted
Memory: [ 8 2 5 9 ]   Page Referenced: 9 | Page 4 evicted
Memory: [ 8 2 5 9 ]   Page Referenced: 8 | No eviction
Memory: [ 8 2 5 9 ]   Page Referenced: 8 | No eviction
Memory: [ 8 2 5 9 ]   Page Referenced: 9 | No eviction
Memory: [ 8 2 5 9 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 2 evicted
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | Page 0 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | Page 1 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 2 evicted
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | Page 0 evicted
Memory: [ 1 8 9 2 ]   Page Referenced: 2 | Page 5 evicted
Memory: [ 1 8 9 2 ]   Page Referenced: 2 | No eviction
Memory: [ 1 8 9 2 ]   Page Referenced: 1 | No eviction
Memory: [ 9 2 1 0 ]   Page Referenced: 0 | Page 8 evicted
Memory: [ 9 2 1 0 ]   Page Referenced: 1 | No eviction
Memory: [ 9 2 1 8 ]   Page Referenced: 8 | Page 0 evicted
Memory: [ 9 2 1 8 ]   Page Referenced: 8 | No eviction
Memory: [ 9 2 1 8 ]   Page Referenced: 9 | No eviction
Memory: [ 1 8 9 0 ]   Page Referenced: 0 | Page 2 evicted
Memory: [ 1 8 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 1 8 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 1 8 9 0 ]   Page Referenced: 0 | No eviction
Memory: [ 8 9 0 5 ]   Page Referenced: 5 | Page 1 evicted
Memory: [ 8 9 0 6 ]   Page Referenced: 6 | Page 5 evicted
Memory: [ 6 9 0 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 6 9 0 7 ]   Page Referenced: 6 | No eviction
Memory: [ 9 0 6 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 9 0 6 4 ]   Page Referenced: 4 | Page 5 evicted
Memory: [ 9 0 6 5 ]   Page Referenced: 5 | Page 4 evicted
Memory: [ 9 0 6 5 ]   Page Referenced: 6 | No eviction
Memory: [ 9 0 6 7 ]   Page Referenced: 7 | Page 5 evicted
Memory: [ 9 0 6 7 ]   Page Referenced: 6 | No eviction
Memory: [ 9 0 6 7 ]   Page Referenced: 9 | No eviction
Memory: [ 0 6 9 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 0 6 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 0 6 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 0 6 9 5 ]   Page Referenced: 0 | No eviction
Memory: [ 0 6 9 5 ]   Page Referenced: 9 | No eviction
Memory: [ 0 6 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 0 9 5 4 ]   Page Referenced: 4 | Page 6 evicted
Memory: [ 0 9 5 4 ]   Page Referenced: 5 | No eviction
Memory: [ 0 9 5 4 ]   Page Referenced: 5 | No eviction
Memory: [ 0 9 5 7 ]   Page Referenced: 7 | Page 4 evicted
Memory: [ 0 9 5 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 0 9 5 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 0 9 5 2 ]   Page Referenced: 2 | Page 7 evicted
Memory: [ 9 2 5 8 ]   Page Referenced: 8 | Page 0 evicted
Memory: [ 2 8 5 1 ]   Page Referenced: 1 | Page 9 evicted
Memory: [ 8 1 5 9 ]   Page Referenced: 9 | Page 2 evicted
Memory: [ 9 1 5 0 ]   Page Referenced: 0 | Page 8 evicted
Memory: [ 1 0 5 8 ]   Page Referenced: 8 | Page 9 evicted
Memory: [ 1 0 5 8 ]   Page Referenced: 1 | No eviction
Memory: [ 8 5 1 2 ]   Page Referenced: 2 | Page 0 evicted
Memory: [ 8 5 1 2 ]   Page Referenced: 1 | No eviction
Memory: [ 8 5 1 2 ]   Page Referenced: 1 | No eviction
Memory: [ 8 5 1 2 ]   Page Referenced: 1 | No eviction
Memory: [ 8 5 1 2 ]   Page Referenced: 5 | No eviction
Memory: [ 8 5 1 2 ]   Page Referenced: 1 | No eviction
Memory: [ 8 5 1 2 ]   Page Referenced: 2 | No eviction
Memory: [ 5 1 2 0 ]   Page Referenced: 0 | Page 8 evicted
Memory: [ 5 1 2 0 ]   Page Referenced: 1 | No eviction
Memory: [ 5 1 2 0 ]   Page Referenced: 0 | No eviction
Memory: [ 5 1 2 0 ]   Page Referenced: 1 | No eviction
Memory: [ 5 1 2 0 ]   Page Referenced: 1 | No eviction
Memory: [ 2 0 1 4 ]   Page Referenced: 4 | Page 5 evicted
Memory: [ 2 0 1 4 ]   Page Referenced: 4 | No eviction
Memory: [ 0 1 4 5 ]   Page Referenced: 5 | Page 2 evicted
Memory: [ 0 1 4 5 ]   Page Referenced: 5 | No eviction

Run 4 Hit Ratio: 54%
~~~~~ Least Recently Used ~~~~~
Memory: [ 4 X X X ]   Page Referenced: 4 | No eviction
Memory: [ 4 3 X X ]   Page Referenced: 3 | No eviction
Memory: [ 4 3 X X ]   Page Referenced: 3 | No eviction
Memory: [ 4 3 X X ]   Page Referenced: 4 | No eviction
Memory: [ 4 3 5 X ]   Page Referenced: 5 | No eviction
Memory: [ 4 3 5 X ]   Page Referenced: 4 | No eviction
Memory: [ 4 3 5 1 ]   Page Referenced: 1 | No eviction
Memory: [ 5 4 1 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 4 1 0 3 ]   Page Referenced: 3 | Page 5 evicted
Memory: [ 4 1 0 2 ]   Page Referenced: 2 | Page 3 evicted
Memory: [ 4 1 0 2 ]   Page Referenced: 1 | No eviction
Memory: [ 4 1 0 2 ]   Page Referenced: 4 | No eviction
Memory: [ 2 1 4 3 ]   Page Referenced: 3 | Page 0 evicted
Memory: [ 2 1 4 3 ]   Page Referenced: 3 | No eviction
Memory: [ 1 4 3 8 ]   Page Referenced: 8 | Page 2 evicted
Memory: [ 1 4 3 8 ]   Page Referenced: 1 | No eviction
Memory: [ 3 8 1 7 ]   Page Referenced: 7 | Page 4 evicted
Memory: [ 3 8 1 7 ]   Page Referenced: 7 | No eviction
Memory: [ 8 1 7 6 ]   Page Referenced: 6 | Page 3 evicted
Memory: [ 1 7 6 4 ]   Page Referenced: 4 | Page 8 evicted
Memory: [ 1 7 6 5 ]   Page Referenced: 5 | Page 4 evicted
Memory: [ 5 7 6 3 ]   Page Referenced: 3 | Page 1 evicted
Memory: [ 5 7 6 3 ]   Page Referenced: 3 | No eviction
Memory: [ 5 7 6 3 ]   Page Referenced: 7 | No eviction
Memory: [ 5 7 6 3 ]   Page Referenced: 7 | No eviction
Memory: [ 5 7 6 3 ]   Page Referenced: 7 | No eviction
Memory: [ 5 7 6 3 ]   Page Referenced: 6 | No eviction
Memory: [ 3 7 6 2 ]   Page Referenced: 2 | Page 5 evicted
Memory: [ 3 7 6 2 ]   Page Referenced: 2 | No eviction
Memory: [ 7 6 2 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 7 6 2 9 ]   Page Referenced: 9 | Page 0 evicted
Memory: [ 7 6 2 9 ]   Page Referenced: 9 | No eviction
Memory: [ 6 2 9 0 ]   Page Referenced: 0 | Page 7 evicted
Memory: [ 0 2 9 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 7 2 9 8 ]   Page Referenced: 8 | Page 0 evicted
Memory: [ 2 8 9 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 6 8 9 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 6 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 6 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 6 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 8 9 3 2 ]   Page Referenced: 2 | Page 6 evicted
Memory: [ 9 2 3 1 ]   Page Referenced: 1 | Page 8 evicted
Memory: [ 9 2 3 1 ]   Page Referenced: 3 | No eviction
Memory: [ 2 1 3 4 ]   Page Referenced: 4 | Page 9 evicted
Memory: [ 2 1 3 4 ]   Page Referenced: 4 | No eviction
Memory: [ 2 1 3 4 ]   Page Referenced: 4 | No eviction
Memory: [ 1 3 4 6 ]   Page Referenced: 6 | Page 2 evicted
Memory: [ 1 3 4 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 7 3 4 8 ]   Page Referenced: 8 | Page 1 evicted
Memory: [ 7 3 4 8 ]   Page Referenced: 8 | No eviction
Memory: [ 3 4 8 9 ]   Page Referenced: 9 | Page 7 evicted
Memory: [ 3 4 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 4 8 9 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 4 8 9 5 ]   Page Referenced: 5 | Page 0 evicted
Memory: [ 4 8 9 5 ]   Page Referenced: 4 | No eviction
Memory: [ 8 9 4 3 ]   Page Referenced: 3 | Page 5 evicted
Memory: [ 8 9 4 3 ]   Page Referenced: 4 | No eviction
Memory: [ 8 9 4 3 ]   Page Referenced: 4 | No eviction
Memory: [ 8 9 4 3 ]   Page Referenced: 4 | No eviction
Memory: [ 8 9 4 3 ]   Page Referenced: 4 | No eviction
Memory: [ 8 9 4 6 ]   Page Referenced: 6 | Page 3 evicted
Memory: [ 8 9 4 1 ]   Page Referenced: 1 | Page 6 evicted
Memory: [ 8 9 4 1 ]   Page Referenced: 9 | No eviction
Memory: [ 8 9 4 1 ]   Page Referenced: 4 | No eviction
Memory: [ 8 9 4 5 ]   Page Referenced: 5 | Page 1 evicted
Memory: [ 5 9 4 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 7 9 4 8 ]   Page Referenced: 8 | Page 5 evicted
Memory: [ 7 9 4 8 ]   Page Referenced: 9 | No eviction
Memory: [ 7 9 4 8 ]   Page Referenced: 8 | No eviction
Memory: [ 7 9 4 8 ]   Page Referenced: 4 | No eviction
Memory: [ 7 9 4 8 ]   Page Referenced: 4 | No eviction
Memory: [ 9 8 4 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 9 8 4 5 ]   Page Referenced: 5 | No eviction
Memory: [ 9 8 4 5 ]   Page Referenced: 8 | No eviction
Memory: [ 4 5 8 1 ]   Page Referenced: 1 | Page 9 evicted
Memory: [ 4 5 8 0 ]   Page Referenced: 0 | Page 1 evicted
Memory: [ 4 5 8 3 ]   Page Referenced: 3 | Page 0 evicted
Memory: [ 4 5 8 3 ]   Page Referenced: 3 | No eviction
Memory: [ 4 5 8 3 ]   Page Referenced: 3 | No eviction
Memory: [ 4 5 8 3 ]   Page Referenced: 4 | No eviction
Memory: [ 4 5 8 3 ]   Page Referenced: 3 | No eviction
Memory: [ 4 5 8 3 ]   Page Referenced: 4 | No eviction
Memory: [ 4 5 8 3 ]   Page Referenced: 3 | No eviction
Memory: [ 4 5 8 3 ]   Page Referenced: 4 | No eviction
Memory: [ 8 3 4 2 ]   Page Referenced: 2 | Page 5 evicted
Memory: [ 8 3 4 2 ]   Page Referenced: 3 | No eviction
Memory: [ 8 3 4 2 ]   Page Referenced: 3 | No eviction
Memory: [ 8 3 4 2 ]   Page Referenced: 2 | No eviction
Memory: [ 4 3 2 1 ]   Page Referenced: 1 | Page 8 evicted
Memory: [ 4 3 2 1 ]   Page Referenced: 2 | No eviction
Memory: [ 4 3 2 1 ]   Page Referenced: 2 | No eviction
Memory: [ 4 3 2 1 ]   Page Referenced: 2 | No eviction
Memory: [ 4 3 2 1 ]   Page Referenced: 3 | No eviction
Memory: [ 4 3 2 1 ]   Page Referenced: 2 | No eviction
Memory: [ 4 3 2 1 ]   Page Referenced: 1 | No eviction
Memory: [ 3 2 1 0 ]   Page Referenced: 0 | Page 4 evicted
Memory: [ 3 2 1 9 ]   Page Referenced: 9 | Page 0 evicted
Memory: [ 3 2 1 0 ]   Page Referenced: 0 | Page 9 evicted
Memory: [ 3 2 1 0 ]   Page Referenced: 0 | No eviction
Memory: [ 3 2 1 0 ]   Page Referenced: 1 | No eviction

Run 5 Hit Ratio: 54%
----------- LFU Start -----------
~~~~~ Least Frequently Used ~~~~~
Memory: [ 1 X X X ]   Page Referenced: 1 | No eviction
Memory: [ 1 9 X X ]   Page Referenced: 9 | No eviction
Memory: [ 1 9 8 X ]   Page Referenced: 8 | No eviction
Memory: [ 1 9 8 4 ]   Page Referenced: 4 | No eviction
Memory: [ 1 9 8 4 ]   Page Referenced: 4 | No eviction
Memory: [ 9 8 4 5 ]   Page Referenced: 5 | Page 1 evicted
Memory: [ 9 8 4 5 ]   Page Referenced: 5 | No eviction
Memory: [ 8 4 5 6 ]   Page Referenced: 6 | Page 9 evicted
Memory: [ 6 4 5 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 7 4 5 8 ]   Page Referenced: 8 | Page 6 evicted
Memory: [ 7 4 5 8 ]   Page Referenced: 7 | No eviction
Memory: [ 7 4 5 8 ]   Page Referenced: 8 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 9 | Page 7 evicted
Memory: [ 4 5 8 9 ]   Page Referenced: 5 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 8 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 8 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 8 | No eviction
Memory: [ 4 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 4 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | Page 3 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | Page 3 evicted
Memory: [ 5 8 9 6 ]   Page Referenced: 6 | Page 2 evicted
Memory: [ 5 8 9 6 ]   Page Referenced: 6 | No eviction
Memory: [ 5 8 9 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 5 8 9 7 ]   Page Referenced: 7 | No eviction
Memory: [ 5 8 9 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 5 8 9 6 ]   Page Referenced: 6 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 6 evicted
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 5 8 9 0 ]   Page Referenced: 8 | No eviction
Memory: [ 5 8 9 7 ]   Page Referenced: 7 | Page 0 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 7 evicted
Memory: [ 5 8 9 4 ]   Page Referenced: 4 | Page 3 evicted
Memory: [ 5 8 9 4 ]   Page Referenced: 5 | No eviction
Memory: [ 5 8 9 4 ]   Page Referenced: 5 | No eviction
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | Page 4 evicted
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | No eviction
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | No eviction
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 1 evicted
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 8 | No eviction
Memory: [ 5 8 9 7 ]   Page Referenced: 7 | Page 0 evicted
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 7 evicted
Memory: [ 5 8 9 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 5 8 9 4 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 4 ]   Page Referenced: 5 | No eviction
Memory: [ 5 8 9 4 ]   Page Referenced: 4 | No eviction
Memory: [ 5 8 9 4 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 4 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 0 evicted
Memory: [ 5 8 9 7 ]   Page Referenced: 7 | Page 3 evicted
Memory: [ 5 8 9 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 5 8 9 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 7 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 8 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 8 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 5 8 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | Page 0 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 5 8 9 4 ]   Page Referenced: 4 | Page 3 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 4 evicted
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | Page 3 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | Page 1 evicted
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | Page 2 evicted
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 1 evicted
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 8 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 5 | No eviction
Memory: [ 5 8 9 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 4 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 8 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | Page 0 evicted
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | No eviction
Memory: [ 5 8 9 1 ]   Page Referenced: 1 | No eviction
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | Page 1 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 5 8 9 2 ]   Page Referenced: 2 | Page 3 evicted
Memory: [ 5 8 9 7 ]   Page Referenced: 7 | Page 2 evicted
Memory: [ 5 8 9 6 ]   Page Referenced: 6 | Page 7 evicted

Run 1 Hit Ratio: 50%
~~~~~ Least Frequently Used ~~~~~
Memory: [ 1 X X X ]   Page Referenced: 1 | No eviction
Memory: [ 1 X X X ]   Page Referenced: 1 | No eviction
Memory: [ 1 X X X ]   Page Referenced: 1 | No eviction
Memory: [ 1 4 X X ]   Page Referenced: 4 | No eviction
Memory: [ 1 4 3 X ]   Page Referenced: 3 | No eviction
Memory: [ 1 4 3 2 ]   Page Referenced: 2 | No eviction
Memory: [ 1 4 3 2 ]   Page Referenced: 3 | No eviction
Memory: [ 1 4 3 2 ]   Page Referenced: 4 | No eviction
Memory: [ 4 3 1 8 ]   Page Referenced: 8 | Page 2 evicted
Memory: [ 4 3 1 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 4 3 1 8 ]   Page Referenced: 8 | Page 7 evicted
Memory: [ 4 3 1 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 4 3 1 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 4 3 1 6 ]   Page Referenced: 6 | No eviction
Memory: [ 3 6 1 5 ]   Page Referenced: 5 | Page 4 evicted
Memory: [ 3 6 1 5 ]   Page Referenced: 6 | No eviction
Memory: [ 3 6 1 7 ]   Page Referenced: 7 | Page 5 evicted
Memory: [ 3 6 1 8 ]   Page Referenced: 8 | Page 7 evicted
Memory: [ 3 6 1 9 ]   Page Referenced: 9 | Page 8 evicted
Memory: [ 3 6 1 9 ]   Page Referenced: 1 | No eviction
Memory: [ 3 6 1 5 ]   Page Referenced: 5 | Page 9 evicted
Memory: [ 3 6 1 5 ]   Page Referenced: 5 | No eviction
Memory: [ 5 6 1 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 5 6 1 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 5 6 1 8 ]   Page Referenced: 8 | Page 4 evicted
Memory: [ 5 6 1 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 5 6 1 2 ]   Page Referenced: 2 | Page 7 evicted
Memory: [ 5 6 1 2 ]   Page Referenced: 5 | No eviction
Memory: [ 5 6 1 2 ]   Page Referenced: 5 | No eviction
Memory: [ 6 5 1 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 6 5 1 8 ]   Page Referenced: 8 | Page 3 evicted
Memory: [ 6 5 1 8 ]   Page Referenced: 8 | No eviction
Memory: [ 6 5 1 8 ]   Page Referenced: 8 | No eviction
Memory: [ 8 5 1 9 ]   Page Referenced: 9 | Page 6 evicted
Memory: [ 8 5 1 9 ]   Page Referenced: 8 | No eviction
Memory: [ 8 5 1 4 ]   Page Referenced: 4 | Page 9 evicted
Memory: [ 8 5 1 2 ]   Page Referenced: 2 | Page 4 evicted
Memory: [ 8 5 1 0 ]   Page Referenced: 0 | Page 2 evicted
Memory: [ 8 5 1 0 ]   Page Referenced: 0 | No eviction
Memory: [ 8 5 1 9 ]   Page Referenced: 9 | Page 0 evicted
Memory: [ 8 5 1 6 ]   Page Referenced: 6 | Page 9 evicted
Memory: [ 8 5 1 2 ]   Page Referenced: 2 | Page 6 evicted
Memory: [ 8 5 1 2 ]   Page Referenced: 2 | No eviction
Memory: [ 8 5 1 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 8 5 1 3 ]   Page Referenced: 3 | No eviction
Memory: [ 8 5 1 2 ]   Page Referenced: 2 | Page 3 evicted
Memory: [ 8 5 1 2 ]   Page Referenced: 1 | No eviction
Memory: [ 8 5 1 7 ]   Page Referenced: 7 | Page 2 evicted
Memory: [ 8 5 1 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 8 5 1 6 ]   Page Referenced: 6 | No eviction
Memory: [ 8 5 1 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 8 5 1 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 8 5 1 6 ]   Page Referenced: 6 | No eviction
Memory: [ 8 5 1 7 ]   Page Referenced: 7 | Page 6 evicted
